,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kylie Makeup,Face (01243),Kylie Skin Tint Foundation (00006730),P_US_ULTA,100.0,0.9766126959650475,0.2570033410434336,13.492675404780263,1.1822153687997943,3.8036494474428166,2.287329735286559,0.1799023387304035,5.749593078043349,1.9840657928553072,2.7996230617664697,13.381735629229846,12.766212627430823,13.742396984494132,7.098860618521375,17.61372397841172,11.9686455923927,35.632656557868586
Kylie Makeup,Kylie Makeup Other (01223),Accesories (00006010),P_US_ALL_OTHERS,100.0,577.7777777777777,0.4629629629629629,1073.263888888889,318.287037037037,11.921296296296296,1631.5972222222222,365.50925925925924,179.86111111111111,409.60648148148147,65.74074074074075,624.8842592592592,688.3101851851852,2153.935185185185,296.75925925925924,410.8796296296297,455.324074074074,882.7546296296296
Kylie Makeup,Kylie Makeup Other (01223),Accesories (00006010),P_US_ULTA,100.0,235.06410256410257,27.115384615384613,41.02564102564102,100.67307692307692,37.916666666666664,128.60576923076923,15.384615384615385,3.8461538461538463,159.2948717948718,162.82051282051282,198.73397435897436,79.93589743589745,732.5,75.32051282051282,85.0801282051282,206.7467948717949,179.71153846153845
Kylie Makeup,Kylie Makeup Other (01223),Other Multi (00005863),P_US_ALL_OTHERS,100.0,0.0,22.588832487309645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylie Makeup,Kylie Makeup Other (01223),Other Multi (00005863),P_US_ULTA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Kylie Makeup,Lips (01245),Kylie Blurred Liquid Lipstick (00006574),P_US_ULTA,100.0,10.844748858447488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91324200913242,0.228310502283105,0.45662100456621,0.0,0.3424657534246575,0.45662100456621,0.228310502283105,0.3424657534246575
Kylie Makeup,Lips (01245),Kylie Crème Lipstick (00006103),P_US_ALL_OTHERS,100.0,6.37195648419962,4.351580037989985,9.203937143843897,1.9167673976860644,53.03056466931445,6.251079260922121,5.629424969780694,11.984113279226385,4.973234329131411,8.150578483854257,30.512864790191678,5.646693144534623,13.037471939216024,4.990502503885339,7.908824037299257,5.111379727162839,10.65446382317389
Kylie Makeup,Lips (01245),Kylie Matte Lipstick (00006102),P_US_ALL_OTHERS,100.0,10.727117194183062,7.390932420872541,14.319931565440546,2.840034217279726,56.37296834901625,10.573139435414884,9.73481608212147,20.667236954662105,10.436270316509837,14.662104362703165,34.473909324208726,9.905902480752781,18.66552609067579,8.16082121471343,11.206159110350727,7.733105218135158,15.483319076133448
Kylie Makeup,Lips (01245),Kylie Matte Lipstick Kit (00006104),P_US_ULTA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylie Makeup,Lips (01245),Kylie Plumping Lip Liner (00006746),P_US_ULTA,100.0,14.262820512820513,3.685897435897436,0.9615384615384616,1.1217948717948718,8.012820512820513,7.051282051282051,10.659054487179487,32.95072115384615,14.423076923076922,11.14383012820513,14.903846153846153,9.28886217948718,9.230769230769232,15.342548076923077,8.844150641025642,10.536858974358974,15.144230769230768
Kylie Makeup,Lips (01245),Kylie Precision Pout Lip Liner (00006731),P_US_ALL_OTHERS,100.0,11.852059400392266,1.9613337069207062,1.61109554497058,16.124964976183804,7.957411039506865,4.139815074250491,12.846735780330626,9.008125525357242,15.676660128887644,5.596805827963014,13.028859624544689,7.810311011487811,10.773325861585878,27.066405155505745,6.4794059960773325,5.134491454188848,4.125805547772486
Kylie Makeup,Lips (01245),Kylie Precision Pout Lip Liner (00006731),P_US_ULTA,100.0,1001.6645649432535,975.8638083228246,185.95208070617906,392.55989911727613,727.5409836065573,758.0832282471627,563.7326607818411,315.05674653215635,454.6027742749054,217.8058007566204,258.6885245901639,368.9281210592686,130.99621689785624,304.0353089533417,203.85876418663304,251.87894073139975,314.07313997477934
Kylie Makeup,Lips (01245),Kylie Supple Kiss Lip Glaze (00006711),P_US_ALL_OTHERS,100.0,37.35148845281004,11.066613269256441,1.2281404351888934,19.23641703377386,8.303297290081431,63.00894406621279,18.16846882926178,17.541049259110935,13.883326658657055,10.839674275797623,14.617541049259112,6.447737284741691,29.86250166866907,20.851688693098385,173.30129488719797,178.78787878787878,19.276465091443065
Kylie Makeup,Lips (01245),Kylie Supple Kiss Lip Glaze (00006711),P_US_ULTA,100.0,3176.078869047619,3.571428571428571,314.2857142857143,39.285714285714285,732.1428571428571,922.5446428571429,3.571428571428571,0.0,228.57142857142856,421.42857142857144,10.714285714285714,139.28571428571428,760.7142857142857,500.59523809523813,450.2976190476191,860.7142857142858,750.6696428571429
Kylie Makeup,Lips (01245),Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ALL_OTHERS,100.0,2388.3333333333335,24.72222222222222,1364.4444444444443,266.38888888888886,290.8333333333333,463.8888888888889,1484.4444444444446,988.8888888888889,182.77777777777777,893.3333333333334,870.5555555555555,248.33333333333334,439.1666666666667,,,,
Kylie Makeup,Lips (01245),Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ULTA,100.0,78.88111888111888,45.85664335664335,63.47027972027972,45.30011655011655,49.37937062937063,67.59615384615385,66.7132867132867,68.1118881118881,75.38461538461539,61.95804195804195,60.55944055944056,45.67016317016317,94.73193473193473,,,,
Kylie Makeup,Lips (01245),Kylie Transformative Lip Tint (00006724),P_US_ULTA,100.0,0.0,0.0,0.0,0.0,0.0,0.17152658662092624,0.0,5.4030874785591765,0.0,0.0,0.0,0.0,0.08576329331046312,0.0,0.0,0.0,0.0
