House,Brand,PL,CFG,vol,age,active,cv,trend,rep_yoy,conc,cut_rate,epos,archetype,score,band
Gucci,Gucci Guilty (00840),Gucci Guilty PF NEW 22 (00006018),P_US_ULTA,4187.0,36,0.9583333333333334,1.5048362115782028,1.340413638904416,-0.11627634312735312,0.5301204819277109,0.7953367875647669,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty PH Eau de Parfum (00005405),P_US_ALL_OTHERS,464068.0,36,1.0,1.1853407980590038,0.24203235234292197,0.23393449546646683,0.46768070822151975,0.024653319265738823,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty PH Eau de Parfum (00005405),P_US_ULTA,97628.0,36,1.0,2.0188006751075456,-0.38369274279076815,-0.11987186383870276,0.6685505163336406,0.08717929538484553,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty PH NEW 22 (00006019),P_US_ALL_OTHERS,20480.0,36,1.0,1.0404102492857867,-0.5933926302414231,0.06842124745775133,0.3780911246612466,0.06641746820440352,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty PH NEW 22 (00006019),P_US_ULTA,8084.0,36,1.0,0.8244174656284806,-0.3314588157459477,0.5325380487536789,0.31537470261697065,0.2959414736108692,True,MODERATE,90,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Femme EDP (00005015),P_US_ALL_OTHERS,69060.0,36,1.0,0.8118132020526496,-0.591135950552671,0.3677389848926943,0.35839423113288815,0.14264432029795157,True,DECLINING,80,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Femme EDP (00005015),P_US_ULTA,23754.0,36,1.0,2.1750572022443437,-0.5306832101790019,-0.04333963135274596,0.6580249569707401,0.3752399989479498,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Homme (00003463),P_US_ALL_OTHERS,615401.0,36,1.0,0.5255169711942095,-0.10451568404617397,0.34504035920071635,0.24159621933506725,0.017535541240610807,True,STABLE & REPEATABLE,90,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Homme (00003463),P_US_ULTA,52949.0,36,1.0,1.105631936491705,0.004038986650485437,0.6329472148457298,0.468524388513034,0.027584433711042956,True,LUMPY / EVENT-DRIVEN,80,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty Supreme Male (00006459),P_US_ALL_OTHERS,0.0,34,0.041666666666666664,4.795831523312719,-1.0,,1.0,0.0,False,INTERMITTENT,10,LOW
Gucci,Gucci Heritage Lines (00843),Gucci Rush (00003480),P_US_ALL_OTHERS,6138.0,33,0.3333333333333333,2.3564280755975786,4.774223894637817,-0.15128213354449202,0.7940563810581863,0.0,True,INTERMITTENT,20,LOW
Gucci,Gucci Luxury Collection (01096),Gucci Luxury Collection (00004823),P_US_ALL_OTHERS,134496.0,36,1.0,1.0188097183378235,-0.6463683978040008,-0.031036238511895353,0.395088418566345,0.003164768052889426,True,LUMPY / EVENT-DRIVEN,55,FAIR
Gucci,Gucci Luxury Collection (01096),Gucci Luxury Collection ROSES AND MUSKS (00006656),P_US_ALL_OTHERS,57427.0,13,0.5416666666666666,1.9011520438380713,3588.1875,0.2261773797311446,0.6679490973660847,0.0,True,LUMPY / EVENT-DRIVEN,25,LOW
Gucci,Gucci Luxury Collection (01096),Gucci Luxury Collection SMALL SIZES (00006654),P_US_ALL_OTHERS,6030.0,18,0.75,1.3645707517321946,2.001493280238925,-0.20884868005856932,0.5126259485010574,0.1955709711846318,True,LUMPY / EVENT-DRIVEN,30,LOW
Gucci,Gucci by Gucci (00839),Gucci Oud Intense (00003457),P_US_ALL_OTHERS,11039.0,34,0.875,0.7594971638093035,0.20394808594176028,0.2580534511848422,0.29453681710213775,0.1201179658855412,True,MODERATE,70,GOOD
Gucci Make up,Gucci Eyes (01199),Gucci Brow Pen (00005650),P_US_ALL_OTHERS,3251.0,36,1.0,1.0549612189500983,-0.631572982774252,-0.22231158797484873,0.4351966873706004,0.3580173775671406,True,LUMPY / EVENT-DRIVEN,55,FAIR
Gucci Make up,Gucci Eyes (01199),Gucci D(EYE)Y Palette (00005655),P_US_ALL_OTHERS,532.0,36,0.875,1.3872275352612635,-0.6041666666666666,0.32425562008879877,0.4728144989339019,0.4211099020674646,True,LUMPY / EVENT-DRIVEN,50,FAIR
Gucci Make up,Gucci Eyes (01199),Gucci Eye Khôl (00005653),P_US_ALL_OTHERS,4390.0,36,1.0,0.7211911247733581,-0.6409291673482742,0.1927095275779396,0.2902623976889745,0.028116006198804517,True,DECLINING,70,GOOD
Gucci Make up,Gucci Eyes (01199),Gucci Eye Shadow Palette (00005856),P_US_ALL_OTHERS,2895.0,36,0.3333333333333333,3.576431804910538,18.3,-0.3079988056786926,0.9645320197044335,0.0,True,INTERMITTENT,20,LOW
Gucci Make up,Gucci Eyes (01199),Gucci Eyelashes (00006501),P_US_ALL_OTHERS,0.0,22,0.125,4.027488291482949,-1.0,,1.0,0.0,False,INTERMITTENT,5,LOW
Gucci Make up,Gucci Eyes (01199),Gucci Eyeliner (00005652),P_US_ALL_OTHERS,984.0,36,1.0,0.7601850625502704,-0.7686339054784858,-0.05968585264399205,0.30265419133091465,0.0,True,DECLINING,65,GOOD
Gucci Make up,Gucci Eyes (01199),Gucci Mascara Ultra Volume (00006080),P_US_ALL_OTHERS,20931.0,22,0.9166666666666666,1.7293379337440116,-0.40521724304509676,-0.10559632578820889,0.6222515234667332,0.018936020623388797,True,LUMPY / EVENT-DRIVEN,40,FAIR
Gucci Make up,Gucci Eyes (01199),Gucci Multidimensional Mascara (00005647),P_US_ALL_OTHERS,59662.0,36,1.0,0.8250397603612907,-0.47820535245758267,0.7453100128110193,0.33094447190262183,0.0529390288426433,True,DECLINING,90,HIGH
Gucci Make up,Gucci Eyes (01199),Gucci Waterproof Mascara (00005649),P_US_ALL_OTHERS,500.0,20,0.25,4.719486563492851,-0.9844797616091383,-0.19954078643405984,0.9944981049027999,0.0,False,INTERMITTENT,5,LOW
Gucci Make up,Gucci Face (01201),Gucci Beauty Powder No Talc (00007041),P_US_ALL_OTHERS,26655.0,13,0.5416666666666666,1.2603413277414892,2.9262041537781704,-0.25584747548251563,0.46648128214328427,0.10837932764676367,True,LUMPY / EVENT-DRIVEN,30,LOW
Gucci Make up,Gucci Face (01201),Gucci Blush Powder (00006171),P_US_ALL_OTHERS,37892.0,36,1.0,0.5904289280246449,-0.402645310800372,0.1749923218621854,0.27121638292622746,0.27505787369186324,True,DECLINING,80,HIGH
Gucci Make up,Gucci Face (01201),Gucci Compact Finishing Powder (00005674),P_US_ALL_OTHERS,27.0,36,0.625,1.2513303565761462,-0.9986127524019935,0.2071388890313,0.4313494099538225,0.0,True,LUMPY / EVENT-DRIVEN,40,FAIR
Gucci Make up,Gucci Face (01201),Gucci Cream (00006636),P_US_ALL_OTHERS,126514.0,14,0.5833333333333334,1.9832653490666126,0.3612291668908232,-0.24391366120112437,0.6857897974527808,0.0002370716904792009,True,LUMPY / EVENT-DRIVEN,20,LOW
Gucci Make up,Gucci Face (01201),Gucci Face Bronzing Powder (00005685),P_US_ALL_OTHERS,58832.0,36,1.0,0.46607032166314327,0.366660472031221,0.37317963508806423,0.2393011385944248,0.6257339703421908,True,STABLE & REPEATABLE,90,HIGH
Gucci Make up,Gucci Face (01201),Gucci Face Compact Primer (00005682),P_US_ALL_OTHERS,167.0,36,0.5,1.5259622571939135,-0.9599808291397076,-0.3097938641471975,0.5578341013824885,0.0,True,LUMPY / EVENT-DRIVEN,20,LOW
Gucci Make up,Gucci Face (01201),Gucci Face Concealer (00005677),P_US_ALL_OTHERS,18634.0,36,1.0,2.1292653642180026,-0.8047446402749544,0.17533992652789088,0.5917172213065891,0.470625,True,LUMPY / EVENT-DRIVEN,50,FAIR
Gucci Make up,Gucci Face (01201),Gucci Face Liquid Primer (00005678),P_US_ALL_OTHERS,18832.0,36,1.0,1.2685627925280538,-0.2894925485757404,0.04529331852152937,0.47466749012947484,0.03296703296703297,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci Make up,Gucci Face (01201),Gucci Face Multiline (00005680),P_US_ALL_OTHERS,1032.0,12,0.25,2.778266888012666,,,0.9496124031007752,0.0,False,NEW / LAUNCH,5,LOW
Gucci Make up,Gucci Face (01201),Gucci Glow Blush (00007042),P_US_ALL_OTHERS,25675.0,10,0.4166666666666667,2.420276640972683,,,0.816319376825706,0.18138630276750414,True,NEW / LAUNCH,10,LOW
