House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g
Gucci,Flora by Gucci (00837),Flora Garden Magnolia (00003441),P_US_ALL_OTHERS,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0
Gucci,Flora by Gucci (00837),Flora Garden Magnolia (00003441),P_US_ULTA,0.0,0.0,5986.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0
Gucci,Flora by Gucci (00837),Flora by Gucci EDP (00003439),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Flora by Gucci (00837),Flora by Gucci EDT (00003440),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Gucci Bamboo (00838),Gucci Bamboo EDP (00003448),P_US_ALL_OTHERS,20613.0,4640.0,14311.0,11042.176470588234,11042.176470588234,427.0,2231.0,12062.0,2027.M06,0.02029467680608365,0.5356899272589256,-0.8150389653457139,-0.35154776046397873
Gucci,Gucci Bamboo (00838),Gucci Bamboo EDP (00003448),P_US_ULTA,4908.0,624.0,4205.0,3143.0,3143.0,0.0,762.0,2877.0,2027.M06,0.0,0.6403830480847595,-0.735140771637122,-0.7032104637336504
Gucci,Gucci Bamboo (00838),Gucci Bamboo EDT (00003449),P_US_ALL_OTHERS,173.0,30.0,381.0,57.0,57.0,87.0,45.0,390.0,2026.M11,0.3346153846153846,0.32947976878612717,-0.8846153846153846,-0.84251968503937
Gucci,Gucci Bamboo (00838),Gucci Bamboo EDT (00003449),P_US_ULTA,238.0,75.0,458.0,105.0,105.0,302.0,68.0,142.0,2026.M11,0.5592592592592592,0.4411764705882353,-0.5211267605633803,-0.6724890829694323
Gucci,Gucci Bloom (01043),Gucci Bloom - Acqua Di Fiori (00004477),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Gucci Bloom (01043),Gucci Bloom - Gocce Di Fiori & Rituals (00004841),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Gucci Bloom (01043),Gucci Bloom - Nettare Di Fiori (00004835),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,-1.0,
Gucci,Gucci Bloom (01043),Gucci Bloom - Nettare Di Fiori (00004835),P_US_ULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia Di Fiori (00005235),P_US_ALL_OTHERS,9.0,0.0,2424.0,362.0,362.0,0.0,272.0,1000.0,2026.M11,0.0,40.22222222222222,-0.728,-1.0
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia Di Fiori (00005235),P_US_ULTA,0.0,0.0,573.0,0.0,0.0,0.0,0.0,4.0,,,,-1.0,-1.0
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ALL_OTHERS,161903.0,135283.0,0.0,109460.0,109460.0,871.0,13463.0,146.0,2027.M06,0.0053509774288277,0.6760838279710691,91.21232876712328,
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,40896.0,11862.0,0.0,261.0,261.0,0.0,4262.0,0.0,2026.M08,0.0,0.006382042253521127,,
Gucci,Gucci Bloom (01043),Gucci Bloom Chapter 5 - Line (00005236),P_US_ALL_OTHERS,0.0,0.0,8641.0,0.0,0.0,0.0,276.0,1614.0,,,,-0.828996282527881,-1.0
Gucci,Gucci Bloom (01043),Gucci Bloom Chapter 5 - Line (00005236),P_US_ULTA,0.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ALL_OTHERS,141449.0,17365.0,282632.0,31088.98407643312,31088.98407643312,128.0,5593.0,14282.0,2027.M06,0.0009041016549298261,0.21978935217946483,-0.6083881809270411,-0.8771193636955475
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ULTA,4428.0,3219.0,40513.0,471.0159235668789,471.0159235668789,0.0,1867.0,3297.0,2027.M06,0.0,0.10637215979378475,-0.43372763117986046,-0.8410880458124552
